timestamp_ms,ai_speed_mps,speed_confidence
4557309,9.019636,0.6015162
4558309,8.960436,0.5855457
4559311,9.443824,0.5241795
4560310,9.8141165,0.5126419
4561310,9.105974,0.53937036
4562310,9.428019,0.51695657
4563310,9.5943365,0.5104381
4564310,9.171456,0.5015678
4565309,9.258154,0.552863
4566310,9.494127,0.52515024
4567310,8.4288225,0.56505066
4568310,8.26888,0.5651526
4569310,8.262642,0.50645614
4570311,8.853743,0.5459808
4571310,8.880112,0.59066576
4572310,8.640518,0.5785148
4573312,9.427925,0.49169305
4574312,9.290204,0.5302377
4575311,9.0886135,0.5861381
4576310,9.209653,0.51775265
4577310,8.720728,0.45626882
4578310,8.806884,0.5479096
4579310,9.050697,0.57237077
4580311,8.489227,0.6018239
4581310,8.749772,0.5393072
4582311,9.044077,0.50783426
4583310,8.554712,0.5556828
4584310,8.549639,0.5527599
4585310,9.078291,0.55685496
4586309,9.40197,0.5748064
4587310,9.983175,0.55067337
4588310,9.743017,0.52095693
4589311,9.616586,0.49263105
4590310,8.50051,0.58451766
4591310,8.436985,0.5268086
4592310,7.8440533,0.6296739
4593311,8.75664,0.5794896
4594310,8.153911,0.58666575
4595310,8.92407,0.58086646
4596310,8.190171,0.58427507
4597310,8.5894785,0.5219
4598311,9.379938,0.5756246
4599309,8.955731,0.5820515
4600311,9.340917,0.5875148
4601310,8.852567,0.50643355
4602310,8.417777,0.5211167
4603310,8.108878,0.62914515
4604310,8.085765,0.56030166
4605311,8.022366,0.5503912
4606309,9.574427,0.49663988
4607309,9.277149,0.54674363
4608310,9.563987,0.5169563
4609310,8.824353,0.59757525
4610310,8.765229,0.5845048
4611310,8.466212,0.5390785
4612310,9.034653,0.5558351
4613310,8.268311,0.5153615
4614310,8.265821,0.5248687
4615310,8.754454,0.58741343
4616310,8.371914,0.53990567
4617310,8.207759,0.6165325
4618309,8.565297,0.65985405
4619311,8.604325,0.5739328
4620310,8.296562,0.6245875
4621310,8.361729,0.5551297
4622311,8.437505,0.6230998
4623310,9.384952,0.4871645
4624310,8.830677,0.50743407
4625310,8.782409,0.5558518
4626311,8.140864,0.6333305
4627309,8.770896,0.4863973
4628310,8.386855,0.5137135
4629311,8.370567,0.5992278
4630309,8.870364,0.48585212
4631310,8.598232,0.59711623
4632310,8.567661,0.58009005
4633310,8.193946,0.56346875
4634310,9.466178,0.6299556
4635311,8.37592,0.52964014
4636310,8.879793,0.5436213
4637310,9.175353,0.59432125
4638310,8.439849,0.58359766
4639310,8.26655,0.5706231
4640310,9.238903,0.556638
4641310,8.624084,0.5035814
4642309,8.682392,0.6000321
4643310,9.440136,0.5091455
4644310,8.660306,0.53424484
4645310,8.996977,0.6424785
4646310,8.132586,0.56348145
4647310,8.161949,0.5778748
4648309,7.9127474,0.5973336
4649310,8.962079,0.5439875
4650310,8.231873,0.5445333
4651310,8.037489,0.62045807
4652310,8.546804,0.51934534
4653310,8.746142,0.5390683
4654310,8.29351,0.59575117
4655310,9.113726,0.532984
4656310,9.230043,0.54233944
4657310,8.80186,0.615779
4658310,8.259342,0.5343296
4659310,7.7326455,0.540981
4660309,8.102109,0.6051654
4661309,7.0347557,0.59419924
4662313,7.4107513,0.5298619
4663309,7.9651856,0.5273614
4664310,8.368146,0.5552606
4665309,8.373576,0.5791565
4666310,7.5069027,0.5639655
4667312,7.278261,0.5628445
4668310,7.569968,0.5670838
4669310,6.9103003,0.6238527
4670310,7.0902295,0.521252
4671311,7.8260174,0.63216716
4672310,7.7700877,0.6180226
4673310,7.5483437,0.5701077
4674310,7.8711567,0.6295578
4675310,7.5010633,0.55677235
4676310,7.3771033,0.68975234
4677310,7.688291,0.60830665
4678310,7.9141607,0.5880854
