S-Vw4 EKF POSITION EVALUATION
======================================================================

RAW S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       24.0521         13.6775  39.1882      76.6651     282.0144
DURING BLACKOUT      200      195.8210        139.3802 228.6675     365.4434     369.9355
 AFTER BLACKOUT    75687      107.1229        112.8080 110.0086     129.4269     285.9047
        OVERALL   126477       74.0353         91.9877  89.1013     124.5696     369.9355

CLEANED S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       23.1758         13.6745  36.3500      69.8982     255.9123
DURING BLACKOUT      200      194.6076        138.9395 227.5516     364.9996     369.5014
 AFTER BLACKOUT    75687      106.5767        112.7490 109.3428     127.7763     269.1926
        OVERALL   126477       73.3560         90.4826  88.1197     123.7935     369.5014

GPS JUMP DETECTION
Threshold: 50.00 m
Detected jumps: 1210
GPS jump: 2920210 -> 2920311 ms; dt=0.101 s; distance=221.170 m
GPS jump: 2929210 -> 2929312 ms; dt=0.102 s; distance=230.435 m
GPS jump: 2938210 -> 2938310 ms; dt=0.100 s; distance=227.358 m
GPS jump: 2947210 -> 2947310 ms; dt=0.100 s; distance=236.759 m
GPS jump: 2956310 -> 2956410 ms; dt=0.100 s; distance=226.959 m
GPS jump: 2965209 -> 2965310 ms; dt=0.101 s; distance=210.489 m
GPS jump: 2974310 -> 2974409 ms; dt=0.099 s; distance=198.042 m
GPS jump: 2983210 -> 2983309 ms; dt=0.099 s; distance=205.597 m
GPS jump: 2992210 -> 2992310 ms; dt=0.100 s; distance=196.815 m
GPS jump: 3001210 -> 3001310 ms; dt=0.100 s; distance=198.075 m
GPS jump: 3010210 -> 3010310 ms; dt=0.100 s; distance=199.306 m
GPS jump: 3019210 -> 3019310 ms; dt=0.100 s; distance=201.815 m
GPS jump: 3028210 -> 3028311 ms; dt=0.101 s; distance=237.927 m
GPS jump: 3037210 -> 3037311 ms; dt=0.101 s; distance=257.866 m
GPS jump: 3046210 -> 3046310 ms; dt=0.100 s; distance=224.726 m
GPS jump: 3055210 -> 3055309 ms; dt=0.099 s; distance=198.965 m
GPS jump: 3064210 -> 3064310 ms; dt=0.100 s; distance=212.529 m
GPS jump: 3073210 -> 3073310 ms; dt=0.100 s; distance=221.898 m
GPS jump: 3082310 -> 3082410 ms; dt=0.100 s; distance=219.935 m
GPS jump: 3091210 -> 3091310 ms; dt=0.100 s; distance=215.673 m
GPS jump: 3100210 -> 3100310 ms; dt=0.100 s; distance=209.008 m
GPS jump: 3109210 -> 3109310 ms; dt=0.100 s; distance=179.452 m
